LEMMA	SENSE1	SENSE2	POS1	POS2	USAGE_1	USAGE_2	LABEL
brussels	oewn-08869442-n		83	16	The famous Manneken-Pis remains the emblem of the rebellious spirit of the City of Brussels.	The decision of Brussels comes following technical tests carried out by the European Commission.	metonymy
hollywood	oewn-09086427-n	oewn-02751653-a	84	2	The author, expert in movie production, married, Secular Franciscan, lives in North Hollywood, California.	A Hollywood actor just arrived at the party.	metonymy
chink	oewn-09266675-n	oewn-09717733-n	69	33	The door is not completely secure inasmuch as there is still a small chink in it.	He prefers to play with a little chink.	metaphor
world	oewn-09293800-n	oewn-08196607-n	21	4	He sailed around the world to capture underwater footage.	The world is watching with bated breath as the negotiations unfold.	metonymy
cap	oewn-09328264-n	oewn-06670391-n	22	19	As a result, the root cap is not only essential for the protection of the root, but also for the overall growth and health of the plant.	They established a cap for prices.	metonymy
ground	oewn-09357302-n	oewn-08597662-n	27	5	He dropped the keys on the ground.	They gained ground step by step.	metonymy
depression	oewn-09388914-n	oewn-14512697-n	21	29	Toward the west this depression led toward a draw.	In the 1930's, cures for the depression literally flooded Washington.	metaphor
track	oewn-09410115-n	oewn-00440979-n	27	5	The group may use the same track to descend or get on the cable cars.	This track seems impossible to me in my current condition.	metonymy
field	oewn-09416498-n	oewn-08022022-n	45	22	They emerged from the woods onto a vast open field.	She is filling up all fields of the form.	metonymy
star	oewn-09467004-n	oewn-09781932-n	44	22	Our own Sun is classified as a yellow dwarf star.	The greatest football stars pay tribute to Pelé.	metaphor
sun	oewn-09473312-n	oewn-11505767-n	4	4	The sun contains 99.85% of the mass in the solar system.	The sun is the greatest enemy of healthy skin.	metonymy
devil	oewn-09566482-n	oewn-09565450-n	4	27	The devil lives in the hell.	He made a bargain with the devil.	metonymy
nuts	oewn-09788499-n	oewn-05532266-n	26	26	Say you were an addict or nuts or, like, stuck in old habits.	That's like a kick in the nuts.	metaphor
wolf	oewn-09864997-n	oewn-10806873-n	45	20	I'm not going to come in and be the big, bad wolf, telling everybody what to do.	John was a harmless wolf who loved to whistle at passing girls, but it never went beyond that.	metaphor
cutter	oewn-10004809-n	oewn-04416263-n	74	63	He has been using every opportunity to boost his credibility as a diamond cutter.	His own force consisted of 15 ships-of-the-line, 2 frigates, a cutter and a lugger.	metaphor
killer	oewn-10250784-n	oewn-05696435-n	52	20	In Germany, one homicide in three is committed by a killer who is under the influence of alcohol.	One day, I had this killer idea to make films set in real-life situations.	metaphor
mother	oewn-10352098-n	oewn-10352666-n	11	4	Linda is a mother of seven children and notices the changes between her own life when she was growing up and her children's lives.	The Mother, the Old woman, she has not heard her say since a very long time.	metaphor
nurse	oewn-10364831-n	oewn-01777051-v	58	3	Asmar, who has black eyes and hair, is the son of the wet nurse who raises them.	We nursed the business through hard times.	metaphor
light	oewn-11494354-n	oewn-04960557-n	4	33	The light from the sun streamed in through the window, illuminating the room.	His humorous speech brought some light into the otherwise serious conference.	metaphor
flowering	oewn-11690372-n	oewn-15320288-n	0	114	Flowering season for tulips is coming soon.	The long-settled areas of states like Virginia and South Carolina developed the antebellum culture to its richest flowering.	metaphor
weed	oewn-13105873-n	oewn-03997192-n	137	92	They can have several specific functions, for example when placed on top as a mulch they help to conserve water in the soil and suppress weed growth.	Maryland and Missouri both decided to make it so that residents can have legal recreational weed, and at some point in 2023.	metonymy
backbone	oewn-13110391-n	oewn-04285118-n	7	41	Remove backbone and cartilage, including the tip of the scapula.	The title and author were printed on the backbone of the book.	metaphor
fruit	oewn-13155706-n	oewn-07309308-n	11	59	Have fresh fruit for dessert (such as a plain slice of apple or cherry tart or an apple dumpling)	I want, therefore, to discuss a second and quite different fruit of science, the connection between scientific understanding and fear.	metaphor
leaf	oewn-13173519-n	oewn-15277718-n	20	31	In autumn, the tree leaves turn beautiful shades of orange, red, and yellow.	She decided to turn over a new leaf and start her diet and exercise plan tomorrow.	metaphor
cost	oewn-13296870-n	oewn-05171334-n	24	89	The increasing raw land cost equates to an increased price per apartment unit.	Time wasted in traffic jams and health problems caused by local air pollution are a real cost to society and the economy.	metaphor
ruby	oewn-13393435-n	oewn-04970765-n	16	0	Lamps made with ruby quartz tubes do only emit the wanted heat radiation and hold back visible light successfully.	Ruby red to brick red, this store has every need for your peinture.	metaphor
budding	oewn-13463132-n	oewn-00346306-v	18	12	When the plant is budding and in autumn, the leaves take on a stunning shade of red.	Taiwan is a budding democracy with which we maintain sound economic ties.	metaphor
space	oewn-13933399-n	oewn-08517454-n	19	29	The architect left space in front of the building.	The first major milestone in space exploration was in 1957, when the USSR's Sputnik 1 orbited the Earth.	metonymy
shoes	oewn-13949819-n		37	18	My foot is injured, and I can't wear shoes.	If I were in your shoes, I would have a serious conversation with your brother.	metonymy
degree	oewn-13962925-n	oewn-05101827-n	56	32	The process of learning a new language requires various degrees of effort and dedication.	He has been convicted of second-degree murder.	metonymy
hungers	oewn-14063016-n	oewn-04952431-n	60	19	It offers a range of inventive cooking to satisfy the small hungers like the great ones.	Clean doubt, which hungers for understanding, is better than a firm belief in any myth.	metaphor
attack	oewn-14104857-n	oewn-00974725-n	81	158	I have been in the country a little more than three months; and have had several attacks of the fever.	In the heat of their anger, many Israelis interviewed today expressed frustration with the fruits of peace and Rabin's strategy for securing citizens against attack.	unrelated
gold	oewn-14662977-n	oewn-13392933-n	8	56	Melting gold normally requires temperatures upwards of 1064 degrees Celsius, but physics is never quite that simple.	When travelling to the US you will need to declare your gold bullion (coins or bars) to Customs and Border Control as you enter the country.	metonymy
lead	oewn-14667645-n		32	29	The fuel I use in my car has no lead.	In the midst of it they shot lead in us.	metonymy
brass	oewn-14741158-n	oewn-08181484-n	0	59	Brass has excellent resistance to seawater corrosion and is easy to machine and form.	Brazil securities regulator accuses eight former Petrobras brass of corruption.	metonymy
air	oewn-14865437-n	oewn-11451868-n	46	30	The windows must remain somewhat open to make air circulation possible.	Open a window and let in some air.	metonymy
fuel	oewn-14899228-n	oewn-01766030-v	33	33	Gas turbines burn natural gas or fuel oil to power the turbine and are generally used when natural gas is readily available.	The teacher provided examples to fuel the discussion.	metaphor
glass	oewn-14905454-n	oewn-03443167-n	4	41	The glass of the window becomes wet and beautiful when rain drops on it.	I'm so happy with this music video for a glass of wine.	metonymy
acrylic	oewn-14990133-n	oewn-02679990-n	8	0	He used acrylic paint to capture the dazzling colours and the unending sunlight	Acrylic has taken over the art world.	metonymy
paper	oewn-14998823-n	oewn-06421395-n	24	14	What is written in this paper?	I published a paper at this NLP conference.	metonymy
board	oewn-15126421-n	oewn-08339911-n	27	32	I've found that sawing the board apart and regluing it is a pretty short term fix.	The final decision comes to the board of directors.	metonymy
air			67	4	It's getting quite stuffy in this room, let's open the windows and air it.	She aired her opinions on welfare.	unrelated
appear			10	7	He had to appear in court last month.	A ship appeared.	unrelated
assume			9	4	The gods assume human or animal form in these fables.	She assumed indifference, even though she was seething with anger.	unrelated
ate	oewn-01170802-v	oewn-01159815-v	42	35	If you feel you are starving, you have to eat.	If you are wondering why is my car eating up so much gas, poor-quality fuel might be the culprit.	metaphor
baby			13	4	When is your baby due?	The baby of the family.	unrelated
bag			20	54	I then took out the bag of dollars, and locked them up my private drawer, thinking to have some fun when she came home.	Mrs. Lander entreated, and when the girl gave her the bag she felt about among the bank-notes which she seemed to have loose in it, and drew out a handful of them without regard to their value.	unrelated
ball			47	4	The young girl danced with many suitors at the ball.	The ball comes zinging back like a small cannonball and an opponent's 18-in.	unrelated
bear			15	50	They spotted a bear while hiking in the national park and quickly walked the other way.	I know it's a heavy load, but you'll just have to bear with it for a bit longer.	unrelated
beat			0	2	Beat one's foot rhythmically.	I beat the traffic.	unrelated
bit			26	60	They never let you have a bit of sleep until you sent them to old Graspum's flesh-market, had them sold, and the money put safely into their hands.	The tool is a hollow, square chisel, through which an auger bit turns.	unrelated
bite	oewn-01448551-v	oewn-00361867-n	39	10	The apple was so crisp and fresh, each bite released a burst of flavor.	The government's weekly bite from my paycheck.	metaphor
bloom	oewn-11689786-n	oewn-15320288-n	72	35	The desert cactus surprised everyone when it was covered in bright pink blooms.	Her creative skills truly bloom after she attended the art workshop.	metaphor
boots	oewn-02876113-n	oewn-07543858-n	5	24	Most boots mainly cover the foot and the ankle	I wish you would give a boot to the head of my enemy.	metonymy
branch	oewn-13184148-n	oewn-00329612-v	27	27	The cat climbed out on the branch, reaching for the birds but afraid to jump.	The company is planning to branch out into new markets next year.	metaphor
break			30	12	This play will either make or break the playwright.	The figurine broke.	unrelated
bridge	oewn-02901994-n	oewn-13815542-n	18	19	The ancient stone bridge spanned the width of the river, connecting the two towns.	Music can act as a bridge between different cultures, bringing people together.	metaphor
buoyancy	oewn-04951589-n	oewn-07546111-n	74	83	To minimize damage to the shoreline, a floating dock must have sufficient buoyancy	This was despite initial signs of a pick-up in corporate lending and the continued buoyancy of lending to households for house purchase.	metaphor
cardinal	oewn-09913595-n	oewn-04970626-n	5	45	Each cardinal is assigned a titular church upon his creation.	The official color of Stanford University is cardinal.	metonymy
carry			12	6	These bonds carry warrants.	Sound carries well over water.	unrelated
carry			9	6	You must carry your camping gear.	Sound carries well over water.	unrelated
case			21	14	It may rain in which case the picnic will be canceled.	Latin has six cases, and remnants of a seventh.	unrelated
circle			24	17	No matter what problems circled, prowling and growling, around him, North never put down his whip and chair.	More Gothas were circling above and below, propellers churning through the murk, their familiar Wong-wong filling the fog.	unrelated
come			12	3	These shoes come in three colors.	He came through the door.	unrelated
contemplation			69	91	Alain Cavalier's " Therese" is a sweet, unphony, radiantly beautiful contemplation of the life of St. Therese of Lisieux.	Although I had no doubt that she was capable of grief, I had thus far seen her cry only in contemplation of her own mysterious burden.	unrelated
court			4	30	The court is now in session.	The girls were playing in the court.	unrelated
crack	oewn-03421239-n	oewn-01789398-v	8	42	A small crack in the window allowed a chilly draft to enter.	Under the pressure of exams, she began to crack and decided to take a short break.	metaphor
cultivated	oewn-01745327-v	oewn-02393545-v	12	20	He likes to cultivate and enjoy plants as they grow.	This is obtained by cultivating your musical taste.	metaphor
cut			0	0	Cut recording tape.	Cut from one scene to another.	unrelated
cut			10	0	The sweat cut little rivulets into her face.	Cut a movie scene.	unrelated
deal			2	48	A deal of trouble.	He rose to prominence through a series of shady deals.	unrelated
defense			24	4	He offered a persuasive defense of the theory.	The defense called for a mistrial.	unrelated
despite			4	29	The despite in which outsiders were held is legendary.	She wanted neither favor nor despite.	unrelated
develop			7	5	Please develop this roll of film for me.	They developed a new technique.	unrelated
dip			12	11	There was a dip in the road.	This onion dip is just scrumptious.	unrelated
diplomatic	oewn-02724451-a	oewn-00762004-a	13	13	I started my diplomatic career in 1995 when I became the ambassador of Latvia in Estonia.	I trust your diplomatic skills will produce an appropriate response from these countries.	metaphor
explored	oewn-00443966-n	oewn-00647924-v	31	6	John took a deep breath before explore into the cerulean blue sea.	Let's explore the details of the project during our meeting today.	metaphor
donkey			45	78	He had chosen as the symbol of his party the donkey.	I could have guessed which building was Branas' from the number of horses and donkeys tied up in front of it.	unrelated
drinking	oewn-01172332-v	oewn-00749813-n	0	0	Drinking 2L of water per day is recommended by many health professionals.	Drinking before driving can cause serious accidents.	metonymy
drive			2	0	I drive to work every day.	Drive a golf ball.	unrelated
edge			99	45	After this task was ended, disencumbering himself of the watch cloak, he crept down to the water's edge, and plunging into the calm basin swam.	A look of soft happiness filled it; the thin edges of resolve melted before it.	unrelated
end			17	4	He came to a bad end.	The end of town.	unrelated
face			9	21	An angry face.	Dew dripped from the face of the leaf.	unrelated
face			21	10	an eye, and then one face was replaced by another and another and another, a dozen at a time, a hundred - a tide of shifting visages soaking away into the sands of his ponderous and overloaded memory.	The man's face changed when he heard the news.	unrelated
fishing	oewn-01143220-v	oewn-01322006-v	4	29	The fishing effort is currently down because of the cod moratorium.	Modesty is the best bait for fishing for compliments.	metaphor
float	oewn-01908286-v	oewn-01842593-v	7	11	Leaves float down the river, twirling in the water's currents.	The dancer floated across the stage.	metaphor
frosting	oewn-00196970-v	oewn-07636431-n	4	32	The frosting made the flowers turn brown.	Allow to cool completely before frosting the cake.	metaphor
gas			48	29	He watched her thigh move as she pressed on the gas pedal.	Sparkling with carbonic acid gas, and effervescing quite as much as champagne, it was nevertheless miserably cold.	unrelated
give			0	4	Give an excuse.	She gave a pair of shoes to her husband for their anniversary.	unrelated
go			27	10	How fast does your new car go?	This door goes to the basement.	unrelated
graft			70	34	Builders, architects and union officials, who provided information on graft during a six-week investigation by The New York Times into corruption estimated to cost $25-million a year.	Approximately 75 percent of organ grafts (transplants) from a blood relative survive and function for at least a year and around 50 percent of cadaver kidneys do as well in the recipient.	unrelated
							
ground			25	36	The earthquake shook the ground beneath their feet, causing panic.	After a long debate, they decided to find common ground to settle their differences.	metaphor
head			23	4	They say he gives good head.	There are 200 head of cattle on this farm.	unrelated
head			22	119	We came down from the head waters of the St. John as far as Woodstock, and thence by stage and steamboat routes. "	The leaders of the poaching rings are in Nairobi, some 185 miles to the south of here, according to Mannasses Keiller, head of Kenya's Anti-Poaching Mobile Unit, a fiveyearold body that has more than 50 employes.	unrelated
hit			3	9	We hit Detroit at one in the morning but kept driving through the night.	The ball hit the fence.	unrelated
hold			23	12	To carry well, i.e. to hold the head high, with arching neck.	This theory holds for all irrational numbers.	unrelated
implement			0	3	Implement a procedure.	He implemented a new economic plan.	unrelated
induct			24	21	There was a ceremony to induct the president of the Academy.	The young geisha was inducted into the ways of her profession.	unrelated
infiltrates	oewn-01917700-v	oewn-01917356-v	86	70	If it should fall into the water, take it out immediately and check that no water has infiltrated	In fact, that is what I did when investigating the Camorra, because I infiltrated the network.	metaphor
land			175	169	I heard again the war-horse come, Like gathering tempest, big and black, That through the forest wings its track, Sweeping and tearing all that stand, And desolating wood and land.	His imaginary rights above his duties, and his happiness above his virtue, who are encouraged by selfish and time-serving politicians and are doing much mischief in the land.	unrelated
lane			47	15	It is in the Cowboys' practice field on Forest Lane in north Dallas.	I stood in the lane until the final echo of the wheels vanishedrattling in the distance.	unrelated
lift			0	0	Lift potatoes gently to avoid bruising or damaging the skins. Use your fingers to harvest potatoes if need be.	Lift my spirits.	unrelated
light			34	14	Although he saw it in a different light, he still did not understand.	Do you have a light?	unrelated
loss			31	26	The match ended in their first loss of the season.	The company operated at a loss last year.	unrelated
mean			40	14	The sky is red this morning — does that mean we're in for a storm?	My ex-husband means nothing to me.	unrelated
mount	oewn-01927367-v	oewn-00434185-v	16	49	They decided to mount the horse, but without experience, it was a mistake.	As the deadline approached, his anxiety began to mount.	metaphor
mouth			19	19	New York is at the mouth of the Hudson.	The jar had a wide mouth.	unrelated
multitude			59	53	He found himself numb of lip and soul as he stood with the multitude of hooded men before the altar in the greatest of the Courts: in the blue dimness of incense and	As children, we appreciated especially the unsparing multitudes of other children in the 11.6inerstadt.	unrelated
number			6	19	Every number has a unique position in the sequence.	He has an unlisted number.	unrelated
number			50	30	In English the subject and the verb must agree in number.	I hope to become one of their number before I die.	unrelated
office			12	13	A municipal office.	He rented an office in the new building.	unrelated
order			16	30	IBM received an order for a hundred computers.	The machine is now in working order.	unrelated
ounce			55	14	Never have brought back the bag, and stolen merely two ounces.	To this add 4 ounces of bay rum and 1 ounce of castile soap shavings.	unrelated
part			12	53	The central part is almost wholly uninhabited, and covered with primitive forests, which are visited only by hunters and lumberers.	Frank took the Doctor to his home, resolved never to part with so faithful and gallant a friend, whose faults had been the faults of unfortunate circumstances, but whose heart, he felt assured, was' in the right place.'	unrelated
part			27	4	He tried to sing the tenor part.	His part was right in the middle.	unrelated
pay			0	0	Pay attention to.	Pay an obligation.	unrelated
peel	oewn-01265500-v	oewn-01262515-v	13	25	She began to peel the orange, its citrus scent filling the air.	The paint in my house is peeling off.	metaphor
performance			28	21	We congratulated him on his performance at the rehearsal.	The play ran for 100 performances.	unrelated
pin			159	68	He cut a sapling and carved a spear point, long and white; confronting the wolf, he drove the raw white wood into its chest as it came up at him and fought to pin it to the ground and grind the pain out of it.	Other sources said the investigators plan to call witnesses who can pin down the date and details of the " hush money " payment to H, Howard Hunt on March 21, 1973, including a " mystery man " who helped the special prosecutor establish the date.	unrelated
plane			9	48	Moulding planes are used for sticking mouldings, as the operation of forming mouldings with the plane is called.	will be no difference between the shadow on the plane, and the side of the prism which projects that shadow; and if the plane be entirely deprived of light, by the extensive breadth of the shadow, the side of the prism will in general be darker than the shadow on the plane: but this will depend very much on the situation of other objects.	unrelated
play			0	4	Play with her feelings.	She plays on her clients' emotions.	unrelated
player			101	94	He became the first man in history to win unanimous selection as the National League's Most Valuable Player.	A popular Judge, " says the great Bacon, " is a deformed thing; and plaudites' are fitter for players than for magistrates.	unrelated
prop			35	132	Back in his Tokyo apartment, Toshi props the snapshot up and he draws his father.	Our ship was hit several times (two holes in left wing flaps, several in fuselage, severed oil line in number three engine and bent prop).	unrelated
pull			4	4	The pull up the hill had him breathing harder.	The pull of the moon.	unrelated
pull			27	0	You'll be sent home if you pull another stunt like that.	Pull your knees towards your chin.	unrelated
quilt			117	71	The chamber was large, covering an area occupied by three rooms on the ground floor; and being next to the roof, the quilt could be conveniently attached to the rafters by ropes.	To this day it is a marvel to me how any one could arrange pillows and quilts to make such a nondescript appearance as mine now presented.	unrelated
rag			143	152	She could stand the faded pastel smear on the peeling wallpaper in there, and she could stand the faint reddish stain on her mother's cleaning rags.	Whatever may be the determination of the poor cultivator in bearing hunger, that he may face his other xvarits, he is in general naked, or covered with rags, transmitted in the family from generation to generation.	unrelated
record			78	26	mask and runs his operation like a Cecil B. DeMille production, upped his own record to 526.28 mph, wrecking his racer but becoming the first person ever to be timed over 500 in a wheeled vehicle on land.	This is a little over the record of Dr. Tanner, but the result is very different.	unrelated
relationship			10	72	Where the relationship of blood has ceased, do we cease to acknowledge that general bond which unites all men of every nation?	Mirax and I put this free time to good use, rebuilding our home and our relationship, but with that came some consequences that I saw as incredibly disruptive -- on the scale of Thrawn disruptive.	unrelated
reversal			12	4	There was a reversal of autonomic function.	The reversal of the image in the lens.	unrelated
rise			0	13	Rise to a challenge.	The building rose before them.	unrelated
risk			94	50	It is to save bloodshed, and you all from a horrible fate, that I have ventured hither at the risk of my life.	You would stifle the thought, immediately, at the risk of suffocation; for in her sober senses, any rational woman would do this, as a matter of religious duty.	unrelated
rock	oewn-09438954-n	oewn-10554923-n	21	31	She skipped a smooth rock across the surface of the lake.	In difficult times, he was her rock, always reliable and strong for her.	metaphor
root	oewn-13145876-n	oewn-08524579-n	50	14	The carrot is a type of vegetable that grows as a root under the soil.	Jupiter was the root of the radiation.	metaphor
run			6	13	Don't run that software unless you have permission.	he called each flip of the coin a new run.	unrelated
sail	oewn-01850600-v	oewn-01873556-v	15	53	The small boat sailed smoothly across the lake, guided by a gentle wind.	After years of preparation, she was finally ready to sail into uncharted territories of her research.	metaphor
savage			62	88	soft-yellow room; throw rug on the floor; colored pictures of savage and saint taped on the wall above her head.	Aside from one or two pleasant arias and one superb septet, there is very little in the Savage that suggests its composer's grand reputation.	unrelated
score			11	4	Settling a score.	The score was 7 to 0.	unrelated
score			53	55	He tried to blame the victim but his success on that score was doubtful.	Police believe the killer was a gang member settling a score with a rival gang.	unrelated
seed	oewn-11704458-n	oewn-05843082-n	14	4	She planted a seed in the pot, covering it gently with soil and watering it.	The seed of doubt was planted in his mind, and he couldn't shake the feeling off.	metaphor
september_11	NA	oewn-15325294-n	61	76	Barbara is going on maternity leave for 3 months starting in September 11.	The country possesses an intense immigration flow and, since the attacks of September 11, its immigration procedures became more rigid.	metonymy
sink	oewn-01989937-v	oewn-01976145-v	18	42	He let the dishes sink into the warm, soapy water before beginning to wash them.	The reality of the situation didn't truly sink in until much later.	metaphor
spark	oewn-07426910-n	oewn-13795739-n	9	27	A single spark from the campfire landed on the dry leaves, threatening to ignite.	Their conversation was the spark that ignited a lifelong friendship.	metaphor
stab			69	108	There was not a taxi to be had, or a light to be seen except for the stab of searchlights and the flashes of anti-aircraft batteries.	A young man with a thin mustache appeared to be pushing himself against this woman, and Megan felt a sudden stab of violation.	unrelated
stay			3	7	To stay a flat sheet in a steam boiler.	Please stay the bloodshed !	unrelated
stream	oewn-09471510-n	oewn-08478606-n	8	18	A clear stream flowed gently through the forest, its waters cool and refreshing.	He had a constant stream of ideas that never seemed to end.	metaphor
stroke			43	31	Then Dave Wain demonstrated with big, easy strokes, and in no time, we had five huge logs to use.	Verify brake cylinders shaft's stroke, comparing with the specifications established by the vehicle assembler. 	unrelated
support			29	24	The statue stood on a marble support.	The government provides support to the arts in several ways.	unrelated
tell			9	0	He could tell that she was unhappy.	Ellen told Helen about the situation.	unrelated
time			28	9	He was a great actor in his time.	He had a time holding back the tears.	unrelated
tip			69	20	Included are all the standards (speed, average speed, maximum speed, tip distance, odometer, auto stop/start timer, average speed indicator and clock).	I would've liked to tip back my head, but I dared not take my eyes off Barnes.	unrelated
touch			23	33	The local Mafia won't touch gambling.	Are you all right? You've hardly touched your lunch.	unrelated
touch			22	40	This dish could use a touch of garlic.	With the lights out, she had to rely on touch to find her desk.	unrelated
trading	oewn-01093829-n	oewn-00080218-n	9	20	They are trading drugs in the subways.	Some types of legal trading can appear to be based on the misuse of inside information.	metonymy
tree			7	19	As the tree increases in size, the roots near the body exhaust the soil of nutriment, and the absorbents, or fibrous spongioles, become hardened by age, and incapable of action.	In this way, every tree provides an insight into the history of its growth.	unrelated
turn			23	6	In Vermont, the leaves turn early.	Ivory turns well.	unrelated
twist			105	31	I want you to take your index and middle fingers on both hands, bend them at the knuckle, then pinch and twist.	That would certainly put a new twist on things, wouldn't it?	unrelated
unit			14	2	The team is a unit.	A unit of wheat is a bushel.	unrelated
wall_street	oewn-09145446-n	oewn-08090304-n	59	70	We must not blame it all on the "bad guys" that operate in Wall Street.	Despite the controversy, many experts note that it is not unusual for Wall Street to take part in deals not open to ordinary investors.	metonymy
wave	oewn-07366790-n	oewn-07367435-n	4	2	The wave crashed against the shore, its foam reaching the tips of their toes.	A wave of nostalgia hit her as she sifted through the old photographs.	metaphor
way			9	5	A lonely way of life.	Make way for.	unrelated
way			16	12	Didn't know the way home.	It's a long way to Moscow.	unrelated
word	oewn-07155367-n		31	34	There was a strong exchange of words on the situation. 	Before the world was created, the Word already existed; he was with God, and he was the same as God.	unrelated
walk	oewn-00284412-n	oewn-04552265-n	0		Walking is a healthy form of exercise.	After the blizzard he shoveled the front walk.	metonymy
book					I really loved this fantasy book.	He was in luck, and fixed to meet Andy Barton at Brazzo's where Yeo Davis had a table permanently booked.	metonymy
disappear					And yet he'd disappeared, without trace.	The DDI's smile disappeared.	metaphor
want					Isobel wants some coffee.	It may be clipped classical, random cottage, modern high-tech, or some intensely personal vision of Byzantium, that no one has ever imagined before, but which exists in your head and wants to get out.	metaphor
grind	oewn-01597899-v 	oewn-05101686-n			My grandmother buys beans and grinds her own coffee.	Do you prefer a thin or coarse grind of coffee?	metonymy
salmon	oewn-02537365-n	oewn-00380866-s			I will cook a salmon for the dinner today.	I like salmon ties.	metonymy
distinguish	oewn-00652006-v	oewn-00653662-v	16	12	If the point of distinguishing murder from manslaughter is to mark out the most heinous group of killings for the extra stigma of a murder conviction, it can be argued that the grievous bodily harm rule draws the line too low.	English law distinguishes between the offences of murder and manslaughter, as we shall see, but the two crimes do have certain common elements.	metaphor
